Altitude,Treatment,Temp,Moisture,Day,Rtime
High Altitude,Treated,NA,NA,124,03/05/2013 12:00
High Altitude,Treated,NA,NA,124,03/05/2013 13:00
High Altitude,Treated,NA,NA,124,03/05/2013 14:00
High Altitude,Treated,NA,NA,124,03/05/2013 15:00
High Altitude,Treated,NA,NA,124,03/05/2013 16:00
High Altitude,Treated,NA,NA,124,03/05/2013 17:00
High Altitude,Treated,NA,NA,124,03/05/2013 18:00
High Altitude,Treated,NA,NA,124,03/05/2013 19:00
High Altitude,Treated,NA,NA,124,03/05/2013 20:00
High Altitude,Treated,NA,NA,124,03/05/2013 21:00
High Altitude,Treated,NA,NA,124,03/05/2013 22:00
High Altitude,Treated,NA,NA,124,03/05/2013 23:00
High Altitude,Treated,NA,NA,124,04/05/2013 00:00
High Altitude,Treated,NA,NA,124,04/05/2013 01:00
High Altitude,Treated,NA,NA,124,04/05/2013 02:00
High Altitude,Treated,NA,NA,124,04/05/2013 03:00
High Altitude,Treated,NA,NA,124,04/05/2013 04:00
High Altitude,Treated,NA,NA,124,04/05/2013 05:00
High Altitude,Treated,NA,NA,124,04/05/2013 06:00
High Altitude,Treated,NA,NA,124,04/05/2013 07:00
High Altitude,Treated,NA,NA,124,04/05/2013 08:00
High Altitude,Treated,NA,NA,124,04/05/2013 09:00
High Altitude,Treated,NA,NA,124,04/05/2013 10:00
High Altitude,Treated,NA,NA,124,04/05/2013 11:00
High Altitude,Treated,NA,NA,125,04/05/2013 12:00
High Altitude,Treated,NA,NA,125,04/05/2013 13:00
High Altitude,Treated,NA,NA,125,04/05/2013 14:00
High Altitude,Treated,NA,NA,125,04/05/2013 15:00
High Altitude,Treated,NA,NA,125,04/05/2013 16:00
High Altitude,Treated,NA,NA,125,04/05/2013 17:00
High Altitude,Treated,NA,NA,125,04/05/2013 18:00
High Altitude,Treated,NA,NA,125,04/05/2013 19:00
High Altitude,Treated,NA,NA,125,04/05/2013 20:00
High Altitude,Treated,NA,NA,125,04/05/2013 21:00
High Altitude,Treated,NA,NA,125,04/05/2013 22:00
High Altitude,Treated,NA,NA,125,04/05/2013 23:00
High Altitude,Treated,NA,NA,125,05/05/2013 00:00
High Altitude,Treated,NA,NA,125,05/05/2013 01:00
High Altitude,Treated,NA,NA,125,05/05/2013 02:00
High Altitude,Treated,NA,NA,125,05/05/2013 03:00
High Altitude,Treated,NA,NA,125,05/05/2013 04:00
High Altitude,Treated,NA,NA,125,05/05/2013 05:00
High Altitude,Treated,NA,NA,125,05/05/2013 06:00
High Altitude,Treated,NA,NA,125,05/05/2013 07:00
High Altitude,Treated,NA,NA,125,05/05/2013 08:00
High Altitude,Treated,NA,NA,125,05/05/2013 09:00
High Altitude,Treated,NA,NA,125,05/05/2013 10:00
High Altitude,Treated,NA,NA,125,05/05/2013 11:00
High Altitude,Treated,NA,NA,126,05/05/2013 12:00
High Altitude,Treated,NA,NA,126,05/05/2013 13:00
High Altitude,Treated,NA,NA,126,05/05/2013 14:00
High Altitude,Treated,NA,NA,126,05/05/2013 15:00
High Altitude,Treated,NA,NA,126,05/05/2013 16:00
High Altitude,Treated,NA,NA,126,05/05/2013 17:00
High Altitude,Treated,NA,NA,126,05/05/2013 18:00
High Altitude,Treated,NA,NA,126,05/05/2013 19:00
High Altitude,Treated,NA,NA,126,05/05/2013 20:00
High Altitude,Treated,NA,NA,126,05/05/2013 21:00
High Altitude,Treated,NA,NA,126,05/05/2013 22:00
High Altitude,Treated,NA,NA,126,05/05/2013 23:00
High Altitude,Treated,NA,NA,126,06/05/2013 00:00
High Altitude,Treated,NA,NA,126,06/05/2013 01:00
High Altitude,Treated,NA,NA,126,06/05/2013 02:00
High Altitude,Treated,NA,NA,126,06/05/2013 03:00
High Altitude,Treated,NA,NA,126,06/05/2013 04:00
High Altitude,Treated,NA,NA,126,06/05/2013 05:00
High Altitude,Treated,NA,NA,126,06/05/2013 06:00
High Altitude,Treated,NA,NA,126,06/05/2013 07:00
High Altitude,Treated,NA,NA,126,06/05/2013 08:00
High Altitude,Treated,NA,NA,126,06/05/2013 09:00
High Altitude,Treated,NA,NA,126,06/05/2013 10:00
High Altitude,Treated,NA,NA,126,06/05/2013 11:00
High Altitude,Treated,NA,NA,127,06/05/2013 12:00
High Altitude,Treated,NA,NA,127,06/05/2013 13:00
High Altitude,Treated,NA,NA,127,06/05/2013 14:00
High Altitude,Treated,NA,NA,127,06/05/2013 15:00
High Altitude,Treated,NA,NA,127,06/05/2013 16:00
High Altitude,Treated,NA,NA,127,06/05/2013 17:00
High Altitude,Treated,NA,NA,127,06/05/2013 18:00
High Altitude,Treated,NA,NA,127,06/05/2013 19:00
High Altitude,Treated,NA,NA,127,06/05/2013 20:00
High Altitude,Treated,NA,NA,127,06/05/2013 21:00
High Altitude,Treated,NA,NA,127,06/05/2013 22:00
High Altitude,Treated,NA,NA,127,06/05/2013 23:00
High Altitude,Treated,NA,NA,127,07/05/2013 00:00
High Altitude,Treated,NA,NA,127,07/05/2013 01:00
High Altitude,Treated,NA,NA,127,07/05/2013 02:00
High Altitude,Treated,NA,NA,127,07/05/2013 03:00
High Altitude,Treated,NA,NA,127,07/05/2013 04:00
High Altitude,Treated,NA,NA,127,07/05/2013 05:00
High Altitude,Treated,NA,NA,127,07/05/2013 06:00
High Altitude,Treated,NA,NA,127,07/05/2013 07:00
High Altitude,Treated,NA,NA,127,07/05/2013 08:00
High Altitude,Treated,NA,NA,127,07/05/2013 09:00
High Altitude,Treated,NA,NA,127,07/05/2013 10:00
High Altitude,Treated,NA,NA,127,07/05/2013 11:00
High Altitude,Treated,NA,NA,128,07/05/2013 12:00
High Altitude,Treated,NA,NA,128,07/05/2013 13:00
High Altitude,Treated,NA,NA,128,07/05/2013 14:00
High Altitude,Treated,NA,NA,128,07/05/2013 15:00
High Altitude,Treated,NA,NA,128,07/05/2013 16:00
High Altitude,Treated,NA,NA,128,07/05/2013 17:00
High Altitude,Treated,NA,NA,128,07/05/2013 18:00
High Altitude,Treated,NA,NA,128,07/05/2013 19:00
High Altitude,Treated,NA,NA,128,07/05/2013 20:00
High Altitude,Treated,NA,NA,128,07/05/2013 21:00
High Altitude,Treated,NA,NA,128,07/05/2013 22:00
High Altitude,Treated,NA,NA,128,07/05/2013 23:00
High Altitude,Treated,NA,NA,128,08/05/2013 00:00
High Altitude,Treated,NA,NA,128,08/05/2013 01:00
High Altitude,Treated,NA,NA,128,08/05/2013 02:00
High Altitude,Treated,NA,NA,128,08/05/2013 03:00
High Altitude,Treated,NA,NA,128,08/05/2013 04:00
High Altitude,Treated,NA,NA,128,08/05/2013 05:00
High Altitude,Treated,NA,NA,128,08/05/2013 06:00
High Altitude,Treated,NA,NA,128,08/05/2013 07:00
High Altitude,Treated,NA,NA,128,08/05/2013 08:00
High Altitude,Treated,NA,NA,128,08/05/2013 09:00
High Altitude,Treated,NA,NA,128,08/05/2013 10:00
High Altitude,Treated,NA,NA,128,08/05/2013 11:00
High Altitude,Treated,NA,NA,129,08/05/2013 12:00
High Altitude,Treated,NA,NA,129,08/05/2013 13:00
High Altitude,Treated,NA,NA,129,08/05/2013 14:00
High Altitude,Treated,NA,NA,129,08/05/2013 15:00
High Altitude,Treated,NA,NA,129,08/05/2013 16:00
High Altitude,Treated,NA,NA,129,08/05/2013 17:00
High Altitude,Treated,NA,NA,129,08/05/2013 18:00
High Altitude,Treated,NA,NA,129,08/05/2013 19:00
High Altitude,Treated,NA,NA,129,08/05/2013 20:00
High Altitude,Treated,NA,NA,129,08/05/2013 21:00
High Altitude,Treated,NA,NA,129,08/05/2013 22:00
High Altitude,Treated,NA,NA,129,08/05/2013 23:00
High Altitude,Treated,NA,NA,129,09/05/2013 00:00
High Altitude,Treated,NA,NA,129,09/05/2013 01:00
High Altitude,Treated,NA,NA,129,09/05/2013 02:00
High Altitude,Treated,NA,NA,129,09/05/2013 03:00
High Altitude,Treated,NA,NA,129,09/05/2013 04:00
High Altitude,Treated,NA,NA,129,09/05/2013 05:00
High Altitude,Treated,NA,NA,129,09/05/2013 06:00
High Altitude,Treated,NA,NA,129,09/05/2013 07:00
High Altitude,Treated,NA,NA,129,09/05/2013 08:00
High Altitude,Treated,NA,NA,129,09/05/2013 09:00
High Altitude,Treated,NA,NA,129,09/05/2013 10:00
High Altitude,Treated,NA,NA,129,09/05/2013 11:00
High Altitude,Treated,NA,NA,130,09/05/2013 12:00
High Altitude,Treated,NA,NA,130,09/05/2013 13:00
High Altitude,Treated,NA,NA,130,09/05/2013 14:00
High Altitude,Treated,NA,NA,130,09/05/2013 15:00
High Altitude,Treated,16.22,-0.001,130,09/05/2013 16:00
High Altitude,Treated,16.04,0.012,130,09/05/2013 17:00
High Altitude,Treated,12.41,0.098,130,09/05/2013 18:00
High Altitude,Treated,10.86,0.099,130,09/05/2013 19:00
High Altitude,Treated,10.09,0.099,130,09/05/2013 20:00
High Altitude,Treated,8.41,0.1,130,09/05/2013 21:00
High Altitude,Treated,7.992,0.104,130,09/05/2013 22:00
High Altitude,Treated,7.71,0.109,130,09/05/2013 23:00
High Altitude,Treated,8.09,0.11,130,10/05/2013 00:00
High Altitude,Treated,8.96,0.109,130,10/05/2013 01:00
High Altitude,Treated,9.03,0.108,130,10/05/2013 02:00
High Altitude,Treated,8.74,0.108,130,10/05/2013 03:00
High Altitude,Treated,8.72,0.108,130,10/05/2013 04:00
High Altitude,Treated,8.68,0.109,130,10/05/2013 05:00
High Altitude,Treated,8.36,0.115,130,10/05/2013 06:00
High Altitude,Treated,7.962,0.115,130,10/05/2013 07:00
High Altitude,Treated,8.07,0.115,130,10/05/2013 08:00
High Altitude,Treated,9.05,0.114,130,10/05/2013 09:00
High Altitude,Treated,10.22,0.114,130,10/05/2013 10:00
High Altitude,Treated,12.04,0.113,130,10/05/2013 11:00
High Altitude,Treated,12.41,0.11,131,10/05/2013 12:00
High Altitude,Treated,13.88,0.109,131,10/05/2013 13:00
High Altitude,Treated,14,0.107,131,10/05/2013 14:00
High Altitude,Treated,11.4,0.105,131,10/05/2013 15:00
High Altitude,Treated,11.53,0.105,131,10/05/2013 16:00
High Altitude,Treated,10.72,0.103,131,10/05/2013 17:00
High Altitude,Treated,10.48,0.102,131,10/05/2013 18:00
High Altitude,Treated,9.28,0.101,131,10/05/2013 19:00
High Altitude,Treated,8.55,0.1,131,10/05/2013 20:00
High Altitude,Treated,7.465,0.1,131,10/05/2013 21:00
High Altitude,Treated,4.949,0.099,131,10/05/2013 22:00
High Altitude,Treated,3.588,0.098,131,10/05/2013 23:00
High Altitude,Treated,2.678,0.097,131,11/05/2013 00:00
High Altitude,Treated,1.897,0.097,131,11/05/2013 01:00
High Altitude,Treated,4.544,0.097,131,11/05/2013 02:00
High Altitude,Treated,4.765,0.098,131,11/05/2013 03:00
High Altitude,Treated,5.062,0.098,131,11/05/2013 04:00
High Altitude,Treated,6.022,0.098,131,11/05/2013 05:00
High Altitude,Treated,6.568,0.097,131,11/05/2013 06:00
High Altitude,Treated,7.09,0.098,131,11/05/2013 07:00
High Altitude,Treated,6.8,0.102,131,11/05/2013 08:00
High Altitude,Treated,7.507,0.113,131,11/05/2013 09:00
High Altitude,Treated,8.1,0.12,131,11/05/2013 10:00
High Altitude,Treated,9.28,0.12,131,11/05/2013 11:00
High Altitude,Treated,11.28,0.118,132,11/05/2013 12:00
High Altitude,Treated,11.57,0.116,132,11/05/2013 13:00
High Altitude,Treated,11.22,0.114,132,11/05/2013 14:00
High Altitude,Treated,10.59,0.113,132,11/05/2013 15:00
High Altitude,Treated,5.114,0.119,132,11/05/2013 16:00
High Altitude,Treated,5.94,0.12,132,11/05/2013 17:00
High Altitude,Treated,4.882,0.12,132,11/05/2013 18:00
High Altitude,Treated,7.503,0.118,132,11/05/2013 19:00
High Altitude,Treated,6.999,0.116,132,11/05/2013 20:00
High Altitude,Treated,5.982,0.118,132,11/05/2013 21:00
High Altitude,Treated,4.769,0.129,132,11/05/2013 22:00
High Altitude,Treated,7.173,0.128,132,11/05/2013 23:00
High Altitude,Treated,7.177,0.126,132,12/05/2013 00:00
High Altitude,Treated,7.106,0.125,132,12/05/2013 01:00
High Altitude,Treated,6.968,0.124,132,12/05/2013 02:00
High Altitude,Treated,7.047,0.123,132,12/05/2013 03:00
High Altitude,Treated,6.378,0.122,132,12/05/2013 04:00
High Altitude,Treated,5.802,0.121,132,12/05/2013 05:00
High Altitude,Treated,6.342,0.121,132,12/05/2013 06:00
High Altitude,Treated,8.06,0.121,132,12/05/2013 07:00
High Altitude,Treated,8.61,0.12,132,12/05/2013 08:00
High Altitude,Treated,8.81,0.119,132,12/05/2013 09:00
High Altitude,Treated,8.62,0.119,132,12/05/2013 10:00
High Altitude,Treated,7.946,0.125,132,12/05/2013 11:00
High Altitude,Treated,8.54,0.142,133,12/05/2013 12:00
High Altitude,Treated,9.47,0.152,133,12/05/2013 13:00
High Altitude,Treated,9.62,0.159,133,12/05/2013 14:00
High Altitude,Treated,9.56,0.161,133,12/05/2013 15:00
High Altitude,Treated,9.44,0.15,133,12/05/2013 16:00
High Altitude,Treated,9.66,0.143,133,12/05/2013 17:00
High Altitude,Treated,10.1,0.137,133,12/05/2013 18:00
High Altitude,Treated,10.08,0.133,133,12/05/2013 19:00
High Altitude,Treated,10.03,0.13,133,12/05/2013 20:00
High Altitude,Treated,9.86,0.128,133,12/05/2013 21:00
High Altitude,Treated,9.61,0.126,133,12/05/2013 22:00
High Altitude,Treated,9.05,0.125,133,12/05/2013 23:00
High Altitude,Treated,9.19,0.124,133,13/05/2013 00:00
High Altitude,Treated,8.9,0.124,133,13/05/2013 01:00
High Altitude,Treated,8.28,0.122,133,13/05/2013 02:00
High Altitude,Treated,8.44,0.121,133,13/05/2013 03:00
High Altitude,Treated,8.23,0.12,133,13/05/2013 04:00
High Altitude,Treated,7.693,0.119,133,13/05/2013 05:00
High Altitude,Treated,7.72,0.118,133,13/05/2013 06:00
High Altitude,Treated,8.59,0.117,133,13/05/2013 07:00
High Altitude,Treated,9.95,0.116,133,13/05/2013 08:00
High Altitude,Treated,10.73,0.115,133,13/05/2013 09:00
High Altitude,Treated,11.34,0.114,133,13/05/2013 10:00
High Altitude,Treated,11.32,0.113,133,13/05/2013 11:00
High Altitude,Treated,11.67,0.112,134,13/05/2013 12:00
High Altitude,Treated,9.62,0.11,134,13/05/2013 13:00
High Altitude,Treated,10.34,0.109,134,13/05/2013 14:00
High Altitude,Treated,9.39,0.108,134,13/05/2013 15:00
High Altitude,Treated,9.88,0.107,134,13/05/2013 16:00
High Altitude,Treated,8.89,0.106,134,13/05/2013 17:00
High Altitude,Treated,8.67,0.105,134,13/05/2013 18:00
High Altitude,Treated,4.444,0.106,134,13/05/2013 19:00
High Altitude,Treated,4.303,0.112,134,13/05/2013 20:00
High Altitude,Treated,5.611,0.112,134,13/05/2013 21:00
High Altitude,Treated,6.172,0.112,134,13/05/2013 22:00
High Altitude,Treated,5.091,0.111,134,13/05/2013 23:00
High Altitude,Treated,5.476,0.111,134,14/05/2013 00:00
High Altitude,Treated,6.522,0.111,134,14/05/2013 01:00
High Altitude,Treated,7.252,0.111,134,14/05/2013 02:00
High Altitude,Treated,6.877,0.11,134,14/05/2013 03:00
High Altitude,Treated,6.134,0.11,134,14/05/2013 04:00
High Altitude,Treated,6.331,0.11,134,14/05/2013 05:00
High Altitude,Treated,5.452,0.11,134,14/05/2013 06:00
High Altitude,Treated,4.664,0.116,134,14/05/2013 07:00
High Altitude,Treated,5.971,0.117,134,14/05/2013 08:00
High Altitude,Treated,8.5,0.117,134,14/05/2013 09:00
High Altitude,Treated,6.583,0.12,134,14/05/2013 10:00
High Altitude,Treated,4.907,0.133,134,14/05/2013 11:00
High Altitude,Treated,5.48,0.135,135,14/05/2013 12:00
High Altitude,Treated,5.902,0.134,135,14/05/2013 13:00
High Altitude,Treated,5.1,0.137,135,14/05/2013 14:00
High Altitude,Treated,4.661,0.138,135,14/05/2013 15:00
High Altitude,Treated,4.509,0.142,135,14/05/2013 16:00
High Altitude,Treated,4.85,0.14,135,14/05/2013 17:00
High Altitude,Treated,5.129,0.141,135,14/05/2013 18:00
High Altitude,Treated,5.28,0.14,135,14/05/2013 19:00
High Altitude,Treated,4.861,0.14,135,14/05/2013 20:00
High Altitude,Treated,4.595,0.141,135,14/05/2013 21:00
High Altitude,Treated,4.156,0.147,135,14/05/2013 22:00
High Altitude,Treated,3.681,0.158,135,14/05/2013 23:00
High Altitude,Treated,3.3,0.187,135,15/05/2013 00:00
High Altitude,Treated,3.292,0.245,135,15/05/2013 01:00
High Altitude,Treated,3.737,0.246,135,15/05/2013 02:00
High Altitude,Treated,4.319,0.223,135,15/05/2013 03:00
High Altitude,Treated,5.315,0.194,135,15/05/2013 04:00
High Altitude,Treated,7.175,0.173,135,15/05/2013 05:00
High Altitude,Treated,7.724,0.159,135,15/05/2013 06:00
High Altitude,Treated,7.954,0.149,135,15/05/2013 07:00
High Altitude,Treated,8.47,0.143,135,15/05/2013 08:00
High Altitude,Treated,9.29,0.139,135,15/05/2013 09:00
High Altitude,Treated,10.56,0.135,135,15/05/2013 10:00
High Altitude,Treated,11.05,0.131,135,15/05/2013 11:00
High Altitude,Treated,11.16,0.128,136,15/05/2013 12:00
High Altitude,Treated,11.55,0.125,136,15/05/2013 13:00
High Altitude,Treated,11.27,0.122,136,15/05/2013 14:00
High Altitude,Treated,10.76,0.12,136,15/05/2013 15:00
