,All.Treatment,PLOT,Genotype,No.Plants.est,No.Stems,Senescence,Treatment,Sowing,Altitude,M.Height,M.Thickness,M.Leaves,Year,BioM.Index,BioM.Index_NA,Harvist,Harvist_NA,DW,DW_NA,MC,Germ.First.20,Germ.First.32,Germ.First.50,Germ.15.43,Temp1,Temp5,Temp15,Temp40,Wat1,Wat5,Wat15,Wat40
1,Pr1,1,Pr1,7,7,0,none,7,High,0.6,1.333333333,2.333333333,2013 Dat,4.2,4.2,NA,NA,NA,NA,NA,0.333333333,2.8,5,4.8,7.635166667,9.267052083,9.267052083,9.267052083,0.036791667,0.076072917,0.076072917,0.076072917
2,Control,1,Control,3,3,2,none,7,High,0.4,1,2,2013 Dat,1.2,1.2,NA,NA,NA,NA,NA,0,2.2,4.428571429,4.2,7.635166667,9.267052083,9.267052083,9.267052083,0.036791667,0.076072917,0.076072917,0.076072917
3,Pr1,2,Pr1,0,0,NA,none,8,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0.6,0.75,NA,NA,NA,NA,NA,NA,NA,NA
4,Control,2,Control,3,3,NA,none,8,High,0.3,1,1,2013 Dat,0.9,0.9,NA,NA,NA,NA,NA,0,1,3.4,4.25,NA,NA,NA,NA,NA,NA,NA,NA
5,Pr1 Treated,3,Pr1,0,0,NA,Treated,2,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0.333333333,0.4,0.25,12.59091667,13.2954,14.90412083,15.21988646,0.114416667,0.101191667,0.089647222,0.098479167
6,Treated,3,Control,0,0,NA,Treated,2,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0.666666667,0.6,0.5,12.59091667,13.2954,14.90412083,15.21988646,0.114416667,0.101191667,0.089647222,0.098479167
7,Pr1 Treated,4,Pr1,15,52,3,Treated,5,High,8.1875,3.875,4.125,2013 Dat,425.75,425.75,NA,NA,NA,NA,NA,8,13.4,17,16.8,18.704375,18.18279167,17.93177778,17.09813281,0.074125,0.084358333,0.095533333,0.081990625
8,Treated,4,Control,20,78,3,Treated,5,High,9.285714286,4,4.357142857,2013 Dat,724.2857143,724.2857143,NA,NA,NA,NA,NA,12,20.6,23.28571429,26.6,18.704375,18.18279167,17.93177778,17.09813281,0.074125,0.084358333,0.095533333,0.081990625
9,Pr1 Treated,5,Pr1,1,1,5,Treated,7,High,3,3,4,2013 Dat,3,3,NA,NA,NA,NA,NA,1.333333333,2.4,2.714285714,3,12.18347917,12.3153125,12.3153125,12.3153125,0.054375,0.109510417,0.109510417,0.109510417
10,Treated,5,Control,2,2,5,Treated,7,High,2.5,1,2,2013 Dat,5,5,NA,NA,NA,NA,NA,3.666666667,6,5.714285714,7.2,12.18347917,12.3153125,12.3153125,12.3153125,0.054375,0.109510417,0.109510417,0.109510417
11,Pr1,6,Pr1,3,5,7,none,3,High,4.5,5,5,2013 Dat,22.5,22.5,NA,NA,NA,NA,NA,0.5,2.25,2.714285714,3,14.88958333,13.14361667,12.43589444,14.40569792,0.053458333,0.050308333,0.052963889,0.042970833
12,Control,6,Control,8,59,5,none,3,High,9.4375,4.375,5.125,2013 Dat,556.8125,556.8125,NA,NA,NA,NA,NA,2,13.75,20,21.6,14.88958333,13.14361667,12.43589444,14.40569792,0.053458333,0.050308333,0.052963889,0.042970833
13,Pr1 Treated,7,Pr1,1,7,5,Treated,3,High,7.5,3,4,2013 Dat,52.5,52.5,NA,NA,NA,NA,NA,0,0.5,1.285714286,1.2,16.74145833,15.9905,15.00585417,17.3782474,0.101125,0.093741667,0.100633333,0.086102083
14,Treated,7,Control,30,87,2,Treated,3,High,11.88461538,3.792307692,4.846153846,2013 Dat,1033.961538,1033.961538,NA,NA,NA,NA,NA,0,5.25,13.85714286,13.4,16.74145833,15.9905,15.00585417,17.3782474,0.101125,0.093741667,0.100633333,0.086102083
15,Pr1,8,Pr1,3,3,10,none,6,High,0.8,2,3,2013 Dat,2.4,2.4,NA,NA,NA,NA,NA,0.5,1.25,2.714285714,2.2,15.0175,15.35244167,14.40409444,13.35155357,0.045041667,0.053716667,0.047366667,0.051962302
16,Control,8,Control,3,3,10,none,6,High,1.2,1,2,2013 Dat,3.6,3.6,NA,NA,NA,NA,NA,0,1,5.428571429,4.4,15.0175,15.35244167,14.40409444,13.35155357,0.045041667,0.053716667,0.047366667,0.051962302
17,Pr1,9,Pr1,2,17,2,none,1,High,10,6.666666667,4.666666667,2013 Dat,170,170,NA,NA,NA,NA,NA,0,0,2.333333333,2.333333333,NA,8.354514706,8.625775974,9.599238987,NA,0.071926471,0.091477273,0.085505507
18,Control,9,Control,7,26,5,none,1,High,8.916666667,5,4.666666667,2013 Dat,231.8333333,231.8333333,NA,NA,NA,NA,NA,0,0,3.333333333,3.333333333,NA,8.354514706,8.625775974,9.599238987,NA,0.071926471,0.091477273,0.085505507
19,Pr1,10,Pr1,1,13,3,none,1,High,9.5,4,5,2013 Dat,123.5,123.5,NA,NA,NA,NA,NA,0,0,2,2,NA,8.354514706,8.625775974,9.599238987,NA,0.071926471,0.091477273,0.085505507
20,Control,10,Control,8,30,1,none,1,High,4.5,2.428571429,4.428571429,2013 Dat,126,126,NA,NA,NA,NA,NA,0,0,4.666666667,4.666666667,NA,8.354514706,8.625775974,9.599238987,NA,0.071926471,0.091477273,0.085505507
21,Pr1,11,Pr1,0,0,NA,none,9,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
22,Control,11,Control,0,0,NA,none,9,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
23,Pr1 Treated,12,Pr1,0,0,NA,Treated,2,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,12.59091667,13.2954,14.90412083,15.21988646,0.114416667,0.101191667,0.089647222,0.098479167
24,Treated,12,Control,2,16,1,Treated,2,High,10,5.5,5.5,2013 Dat,160,160,NA,NA,NA,NA,NA,0.5,3,2.8,2.75,12.59091667,13.2954,14.90412083,15.21988646,0.114416667,0.101191667,0.089647222,0.098479167
25,Pr1,13,Pr1,2,2,4,none,7,High,0.4,1,3,2013 Dat,0.8,0.8,NA,NA,NA,NA,NA,1,3.8,6,6.2,7.635166667,9.267052083,9.267052083,9.267052083,0.036791667,0.076072917,0.076072917,0.076072917
26,Control,13,Control,23,23,5,none,7,High,0.5,1,3,2013 Dat,11.5,11.5,NA,NA,NA,NA,NA,1,9.6,19,18,7.635166667,9.267052083,9.267052083,9.267052083,0.036791667,0.076072917,0.076072917,0.076072917
